                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     44,                0.32082,                0.19938,                0.35565,                0.86597,                0.74878,                   0.75,                   0.81,                   0.81,                0.74878,                   0.75,                   0.81,                0.77867,                0.75364,                 7.9269,                 1.4165,                 1.2057,              5.842e-08,              5.842e-08,              5.842e-08
                     45,                0.35278,                 0.2128,                0.39663,                0.91784,                0.74878,                   0.75,                   0.81,                   0.81,                0.74878,                   0.75,                   0.81,                0.77867,                0.75364,                 7.9269,                 1.4165,                 1.2057,              5.743e-08,              5.743e-08,              5.743e-08
                     46,                0.31464,                0.21807,                 0.3657,                0.94238,                 0.7483,                   0.75,                   0.81,                   0.81,                 0.7483,                   0.75,                   0.81,                0.77867,                0.75634,                 7.9309,                 1.4177,                  1.205,              5.644e-08,              5.644e-08,              5.644e-08
                     47,                0.30023,                0.17339,                0.34077,                 0.8831,                0.74855,                   0.75,                   0.81,                   0.81,                0.74855,                   0.75,                   0.81,                0.77867,                0.74953,                 7.9105,                 1.4115,                 1.2001,              5.545e-08,              5.545e-08,              5.545e-08
                     48,                 0.2532,                 0.1556,                0.32531,                 0.8923,                0.74831,                   0.75,                   0.81,                   0.81,                0.74831,                   0.75,                   0.81,                0.77867,                0.75158,                 7.9524,                 1.4154,                 1.2027,              5.446e-08,              5.446e-08,              5.446e-08
                     49,                0.26616,                 0.1739,                0.34735,                0.85979,                0.74831,                   0.75,                   0.81,                   0.81,                0.74831,                   0.75,                   0.81,                0.77867,                0.75158,                 7.9524,                 1.4154,                 1.2027,              5.347e-08,              5.347e-08,              5.347e-08
                     50,                0.27503,                0.17399,                0.33632,                 0.8387,                0.74831,                   0.75,                   0.81,                   0.81,                0.74831,                   0.75,                   0.81,                0.77867,                0.74961,                 7.9632,                  1.411,                 1.2023,              5.248e-08,              5.248e-08,              5.248e-08
                     51,                0.33156,                0.18572,                 0.3633,                0.90636,                0.74806,                   0.75,                   0.81,                   0.81,                0.74806,                   0.75,                   0.81,                0.77867,                0.74925,                 8.0196,                 1.4114,                 1.2017,              5.149e-08,              5.149e-08,              5.149e-08
                     52,                0.32641,                0.19972,                0.34623,                0.86617,                0.74823,                   0.75,                   0.81,                   0.81,                0.74823,                   0.75,                   0.81,                0.77867,                 0.7542,                 8.0753,                 1.4252,                 1.2087,               5.05e-08,               5.05e-08,               5.05e-08
                     53,                0.31151,                0.26799,                0.37519,                0.87655,                0.74823,                   0.75,                   0.81,                   0.81,                0.74823,                   0.75,                   0.81,                0.77867,                 0.7542,                 8.0753,                 1.4252,                 1.2087,              4.951e-08,              4.951e-08,              4.951e-08
                     54,                0.28226,                0.24198,                 0.3567,                0.84562,                 0.7479,                   0.75,                   0.81,                   0.81,                 0.7479,                   0.75,                   0.81,                0.77867,                0.74788,                 8.0421,                 1.4184,                 1.2033,              4.852e-08,              4.852e-08,              4.852e-08
                     55,                0.30346,                0.18044,                0.34509,                0.88811,                0.74814,                   0.75,                   0.81,                   0.81,                0.74814,                   0.75,                   0.81,                0.77867,                0.75081,                 8.0473,                 1.4228,                 1.2075,              4.753e-08,              4.753e-08,              4.753e-08
                     56,                0.31183,                0.21586,                0.35345,                0.87224,                0.74799,                   0.75,                   0.81,                   0.81,                0.74799,                   0.75,                   0.81,                0.77867,                 0.7448,                 8.0237,                 1.4095,                  1.201,              4.654e-08,              4.654e-08,              4.654e-08
                     57,                0.31628,                0.20232,                0.35253,                0.86172,                0.74799,                   0.75,                   0.81,                   0.81,                0.74799,                   0.75,                   0.81,                0.77867,                 0.7448,                 8.0237,                 1.4095,                  1.201,              4.555e-08,              4.555e-08,              4.555e-08
                     58,                0.29078,                 0.2707,                0.34889,                0.87475,                 0.7479,                   0.75,                   0.81,                   0.81,                 0.7479,                   0.75,                   0.81,                0.77867,                0.74562,                 8.0368,                 1.4153,                 1.2033,              4.456e-08,              4.456e-08,              4.456e-08
                     59,                0.31494,                 0.2105,                0.38881,                0.93642,                0.74773,                   0.75,                   0.81,                   0.81,                0.74773,                   0.75,                   0.81,                0.77867,                0.74579,                 7.9807,                 1.4156,                 1.2013,              4.357e-08,              4.357e-08,              4.357e-08
                     60,                 0.3151,                 0.1844,                0.38592,                0.87891,                0.74757,                   0.75,                   0.81,                   0.81,                0.74757,                   0.75,                   0.81,                0.77867,                0.73989,                 8.0047,                 1.4073,                  1.196,              4.258e-08,              4.258e-08,              4.258e-08
                     61,                0.45015,                0.21722,                0.42077,                 0.9986,                0.74757,                   0.75,                   0.81,                   0.81,                0.74757,                   0.75,                   0.81,                0.77867,                0.73989,                 8.0047,                 1.4073,                  1.196,              4.159e-08,              4.159e-08,              4.159e-08
                     62,                0.37688,                0.26214,                0.41119,                0.96601,                0.74742,                   0.75,                   0.81,                   0.81,                0.74742,                   0.75,                   0.81,                0.77867,                0.73738,                 7.9682,                 1.4091,                 1.1933,               4.06e-08,               4.06e-08,               4.06e-08
                     63,                0.35004,                0.19345,                0.36568,                0.86011,                0.74733,                   0.75,                   0.81,                   0.81,                0.74733,                   0.75,                   0.81,                0.77867,                0.73118,                 8.0006,                 1.3912,                 1.1873,              3.961e-08,              3.961e-08,              3.961e-08
                     64,                0.34527,                0.26621,                0.40259,                0.92067,                0.74734,                   0.75,                   0.81,                   0.81,                0.74734,                   0.75,                   0.81,                0.77867,                0.73621,                 7.9831,                 1.4057,                 1.1911,              3.862e-08,              3.862e-08,              3.862e-08
                     65,                0.32946,                0.23466,                0.37594,                0.86865,                0.74734,                   0.75,                   0.81,                   0.81,                0.74734,                   0.75,                   0.81,                0.77867,                0.73621,                 7.9831,                 1.4057,                 1.1911,              3.763e-08,              3.763e-08,              3.763e-08
                     66,                0.30649,                0.23962,                0.34558,                0.90247,                0.74734,                   0.75,                   0.81,                   0.81,                0.74734,                   0.75,                   0.81,                0.77867,                0.74505,                 7.9743,                 1.4203,                 1.1975,              3.664e-08,              3.664e-08,              3.664e-08
                     67,                0.29233,                0.24094,                0.34289,                0.87785,                0.74734,                   0.75,                   0.81,                   0.81,                0.74734,                   0.75,                   0.81,                0.77867,                0.75301,                 7.9857,                 1.4393,                 1.2038,              3.565e-08,              3.565e-08,              3.565e-08
                     68,                0.41334,                0.23039,                0.43053,                0.90564,                0.74717,                   0.75,                0.80071,                0.80071,                0.74717,                   0.75,                0.80071,                 0.7691,                0.76124,                 8.0671,                 1.4442,                 1.2105,              3.466e-08,              3.466e-08,              3.466e-08
                     69,                0.28919,                0.21328,                0.34101,                0.89097,                0.74717,                   0.75,                0.80071,                0.80071,                0.74717,                   0.75,                0.80071,                 0.7691,                0.76124,                 8.0671,                 1.4442,                 1.2105,              3.367e-08,              3.367e-08,              3.367e-08
                     70,                0.37117,                0.19982,                0.38207,                0.91528,                0.74724,                   0.75,                0.80071,                0.80071,                0.74724,                   0.75,                0.80071,                 0.7691,                0.75033,                 8.1066,                 1.4324,                 1.2061,              3.268e-08,              3.268e-08,              3.268e-08
                     71,                0.32161,                0.29339,                0.40175,                0.89005,                  0.747,                   0.75,                0.80071,                0.80071,                  0.747,                   0.75,                0.80071,                 0.7691,                0.75671,                 8.1127,                 1.4479,                 1.2086,              3.169e-08,              3.169e-08,              3.169e-08
                     72,                0.30963,                0.22583,                0.35233,                0.90177,                0.74698,                   0.75,                0.80071,                0.80071,                0.74698,                   0.75,                0.80071,                 0.7691,                0.76175,                 8.1197,                 1.4446,                 1.2117,               3.07e-08,               3.07e-08,               3.07e-08
                     73,                0.26961,                 0.1698,                0.32796,                0.88349,                0.74698,                   0.75,                0.80071,                0.80071,                0.74698,                   0.75,                0.80071,                 0.7691,                0.76175,                 8.1197,                 1.4446,                 1.2117,              2.971e-08,              2.971e-08,              2.971e-08
                     74,                 0.3016,                0.16624,                0.36604,                0.89819,                0.74722,                   0.75,                0.80071,                0.80071,                0.74722,                   0.75,                0.80071,                 0.7691,                0.75717,                 8.1004,                 1.4471,                 1.2161,              2.872e-08,              2.872e-08,              2.872e-08
                     75,                0.38487,                0.17911,                 0.4087,                0.92775,                0.74722,                   0.75,                0.80071,                0.80071,                0.74722,                   0.75,                0.80071,                 0.7691,                0.76271,                 8.1225,                 1.4529,                 1.2199,              2.773e-08,              2.773e-08,              2.773e-08
                     76,                 0.3756,                0.26015,                0.37754,                0.89484,                0.74747,                   0.75,                0.80071,                0.80071,                0.74747,                   0.75,                0.80071,                 0.7691,                0.76253,                   8.18,                 1.4477,                 1.2171,              2.674e-08,              2.674e-08,              2.674e-08
                     77,                0.32707,                0.22349,                0.36066,                0.90489,                0.74747,                   0.75,                0.80071,                0.80071,                0.74747,                   0.75,                0.80071,                 0.7691,                0.76253,                   8.18,                 1.4477,                 1.2171,              2.575e-08,              2.575e-08,              2.575e-08
                     78,                0.26519,                0.22709,                0.36234,                0.82305,                0.74748,                   0.75,                0.80071,                0.80071,                0.74748,                   0.75,                0.80071,                 0.7691,                0.76209,                 8.1881,                 1.4562,                 1.2158,              2.476e-08,              2.476e-08,              2.476e-08
                     79,                0.33708,                0.22698,                0.35472,                0.86299,                0.74739,                   0.75,                0.80071,                0.80071,                0.74739,                   0.75,                0.80071,                 0.7691,                 0.7594,                 8.2035,                 1.4542,                 1.2152,              2.377e-08,              2.377e-08,              2.377e-08
                     80,                0.27941,                 0.2745,                0.35341,                0.89477,                0.74748,                   0.75,                0.80071,                0.80071,                0.74748,                   0.75,                0.80071,                 0.7691,                0.76583,                  8.174,                 1.4658,                 1.2177,              2.278e-08,              2.278e-08,              2.278e-08
                     81,                0.31385,                0.23271,                0.36028,                0.90093,                0.74748,                   0.75,                0.80071,                0.80071,                0.74748,                   0.75,                0.80071,                 0.7691,                0.76583,                  8.174,                 1.4658,                 1.2177,              2.179e-08,              2.179e-08,              2.179e-08
                     82,                0.33061,                0.17801,                0.38218,                0.89637,                0.74749,                   0.75,                0.80071,                0.80071,                0.74749,                   0.75,                0.80071,                 0.7691,                0.76188,                 8.1212,                 1.4579,                 1.2144,               2.08e-08,               2.08e-08,               2.08e-08
                     83,                0.31525,                0.23921,                0.44172,                0.90619,                0.74733,                   0.75,                0.80071,                0.80071,                0.74733,                   0.75,                0.80071,                 0.7691,                0.75996,                 8.0861,                 1.4512,                 1.2138,              1.981e-08,              1.981e-08,              1.981e-08
                     84,                0.36692,                0.23451,                0.39384,                0.90353,                0.74741,                   0.75,                0.80071,                0.80071,                0.74741,                   0.75,                0.80071,                 0.7691,                0.76319,                 8.1646,                 1.4575,                 1.2163,              1.882e-08,              1.882e-08,              1.882e-08
                     85,                0.36178,                0.27286,                0.34704,                0.88417,                0.74741,                   0.75,                0.80071,                0.80071,                0.74741,                   0.75,                0.80071,                 0.7691,                0.76319,                 8.1646,                 1.4575,                 1.2163,              1.783e-08,              1.783e-08,              1.783e-08
                     86,                0.29931,                0.21574,                 0.3519,                0.88178,                 0.7474,                   0.75,                0.80071,                0.80071,                 0.7474,                   0.75,                0.80071,                 0.7691,                0.75898,                 8.1628,                 1.4513,                 1.2126,              1.684e-08,              1.684e-08,              1.684e-08
                     87,                  0.285,                0.20072,                0.36853,                 0.8944,                0.74742,                   0.75,                   0.81,                   0.81,                0.74742,                   0.75,                   0.81,                0.77867,                0.75246,                 8.1044,                 1.4307,                 1.2035,              1.585e-08,              1.585e-08,              1.585e-08
                     88,                0.32214,                0.22395,                0.36496,                0.88888,                0.74749,                   0.75,                   0.81,                   0.81,                0.74749,                   0.75,                   0.81,                0.77867,                0.75902,                 8.1098,                 1.4377,                 1.2073,              1.486e-08,              1.486e-08,              1.486e-08
                     89,                 0.2772,                 0.2168,                0.33541,                0.85882,                0.74749,                   0.75,                   0.81,                   0.81,                0.74749,                   0.75,                   0.81,                0.77867,                0.75902,                 8.1098,                 1.4377,                 1.2073,              1.387e-08,              1.387e-08,              1.387e-08
                     90,                0.27164,                0.17048,                0.33349,                  0.878,                0.74757,                   0.75,                   0.81,                   0.81,                0.74757,                   0.75,                   0.81,                0.77867,                0.75687,                 8.1227,                 1.4365,                 1.2065,              1.288e-08,              1.288e-08,              1.288e-08
                     91,                0.29835,                0.14218,                0.42142,                0.90483,                0.74735,                   0.75,                   0.81,                   0.81,                0.74735,                   0.75,                   0.81,                0.77867,                0.75039,                 8.1146,                 1.4375,                 1.1996,              1.189e-08,              1.189e-08,              1.189e-08
                     92,                0.30755,                0.12354,                0.56458,                0.96089,                0.74698,                   0.75,                   0.81,                   0.81,                0.74698,                   0.75,                   0.81,                0.77867,                0.73677,                 8.0725,                 1.4213,                 1.1827,               1.09e-08,               1.09e-08,               1.09e-08
                     93,                0.26579,                0.14296,                0.43474,                0.88914,                0.74698,                   0.75,                   0.81,                   0.81,                0.74698,                   0.75,                   0.81,                0.77867,                0.73677,                 8.0725,                 1.4213,                 1.1827,               9.91e-09,               9.91e-09,               9.91e-09
                     94,                0.32697,                 0.1389,                 0.5096,                  1.017,                 0.7466,                   0.75,                  0.784,                  0.784,                 0.7466,                   0.75,                  0.784,                0.75187,                 0.7246,                 8.0082,                 1.4129,                 1.1711,               8.92e-09,               8.92e-09,               8.92e-09
                     95,                0.27433,                0.18784,                 0.5204,                0.86221,                 0.7463,                   0.75,                0.78045,                0.78045,                 0.7463,                   0.75,                0.78045,                0.74821,                0.70806,                 8.0548,                 1.3872,                 1.1486,               7.93e-09,               7.93e-09,               7.93e-09
                     96,                0.45563,                0.26469,                0.58601,                 1.0574,                0.74615,                   0.75,                0.78045,                0.78045,                0.74615,                   0.75,                0.78045,                0.74821,                0.72069,                 8.0216,                 1.4097,                 1.1532,               6.94e-09,               6.94e-09,               6.94e-09
                     97,                0.24704,                0.13974,                0.49228,                0.89781,                0.74615,                   0.75,                0.78045,                0.78045,                0.74615,                   0.75,                0.78045,                0.74821,                0.72069,                 8.0216,                 1.4097,                 1.1532,               5.95e-09,               5.95e-09,               5.95e-09
                     98,                0.31687,                0.16995,                0.57019,                0.98358,                0.74576,                   0.75,                  0.775,                  0.775,                0.74576,                   0.75,                  0.775,                0.74259,                0.73595,                 7.9718,                 1.4314,                 1.1614,               4.96e-09,               4.96e-09,               4.96e-09
                     99,                0.29216,                0.17457,                0.51257,                0.91189,                0.74542,                   0.75,                  0.771,                  0.771,                0.74542,                   0.75,                  0.771,                0.73847,                0.72394,                 7.9981,                 1.4546,                  1.153,               3.97e-09,               3.97e-09,               3.97e-09
                    100,                0.28454,                0.18436,                0.44462,                 0.9236,                0.74528,                   0.75,                  0.771,                  0.771,                0.74528,                   0.75,                  0.771,                0.73847,                0.72482,                 7.9643,                 1.4783,                 1.1544,               2.98e-09,               2.98e-09,               2.98e-09
